Cozy basement room,354785010,Gilbert,Brooklyn,Williamsburg,40.70986,-73.95652,Private room,80,31,23,4,91,13
Modern room in Williamsburg,354785010,Gilbert,Brooklyn,Williamsburg,40.71108,-73.95597,Private room,86,30,93,4,45,74
Awesome Brick Room In Williamsburg,354785010,Gilbert,Brooklyn,Williamsburg,40.70385,-73.95899,Private room,86,2,96,4,85,77
"✳Purified 4BR/2BA Home, Your Brooklyn Zen✳#60350",185911671,Tina,Brooklyn,Flatbush,40.65289,-73.95731,Entire home/apt,950,30,1,1,0,1
Beautiful  Brownstone Apartment-Historic District,103865219,Dawn,Brooklyn,Bedford-Stuyvesant,40.68429,-73.93448,Entire home/apt,151,2,53,2,50,38
"The Cem: Sunlit, modern 2br in Bushwick/Ridgewood",7988328,Adham,Queens,Ridgewood,40.71029,-73.91401,Entire home/apt,214,2,6,1,3,4
Modern Duplex 3 bedroom 3 full bath near downtown,429826037,Valentin,Brooklyn,Bedford-Stuyvesant,40.67716,-73.92358,Entire home/apt,180,30,1,12,151,1
"Stunning 1 Bed Great for Work, Fast Wifi & Coffee",429941031,Jennaya,Brooklyn,Clinton Hill,40.68773,-73.96844,Entire home/apt,152,1,93,2,73,66
Spacious room near C park & C university,429419108,Max,Manhattan,Upper West Side,40.79978,-73.96294,Private room,73,1,74,2,158,55
17188 love homes,119692067,Qiulan,Brooklyn,Sunset Park,40.64519,-74.00083,Private room,51,1,0,5,358,0
Little Studio flat near Korean town,7896850,Roger,Manhattan,Midtown,40.74816,-73.98852,Entire home/apt,137,3,13,4,303,13
Loft Studio close to Empire State Building,7896850,Roger,Manhattan,Midtown,40.7469,-73.98872,Entire home/apt,125,6,50,4,330,37
"Sunny, elegant 2BR condo w/fireplace in Brooklyn",71723502,Elizabeth,Brooklyn,Boerum Hill,40.68594,-73.98601,Entire home/apt,375,7,5,1,278,3
Room 1 - Private small bedroom in shared apartment,42585587,Lincie,Queens,Elmhurst,40.74776,-73.86869,Private room,47,4,34,4,76,27
"Bright, cozy and spacious apartment in LES",20950225,Lucas,Manhattan,Lower East Side,40.71385,-73.99004,Entire home/apt,295,28,4,1,0,2
Lovely 2 Bedroom Apartment in LES #Apt 7,289122184,Karen,Manhattan,Lower East Side,40.72273,-73.99171,Entire home/apt,145,30,1,10,234,1
Untitled at 3 Freeman - Double Bunk,158969505,Untitled,Manhattan,Lower East Side,40.72259,-73.99141,Entire home/apt,216,1,48,12,299,40
East Village Boutique Chic,55115881,Ophira,Manhattan,East Village,40.731586,-73.98693,Entire home/apt,395,3,30,1,97,22
Queen Suite w Balcony| Kitchenette| Desk| near NYC,30283594,Global Luxury Suites,Bronx,Mott Haven,40.811848,-73.929665,Entire home/apt,157,1,14,51,365,12
Lovely 1-bedroom rental unit in NYC,96892684,Yahaira,Manhattan,Washington Heights,40.83922,-73.9462,Private room,65,2,2,2,0,0
Serenity,347719349,David,Bronx,Van Nest,40.8487,-73.8646,Private room,59,1,8,4,87,8
Beyond Stay 2-near JFK/UBS Arena/ArthurAshe Stadiu,85202871,Natiesha,Queens,Rosedale,40.65209,-73.72587,Entire home/apt,274,6,4,2,347,4
Cozy west village rental in New York City.,199294415,Gregory,Manhattan,West Village,40.73434,-74.00122,Entire home/apt,225,2,44,1,258,31
Bright 2BR in Williamsburg (Steps to the Subway!),4887529,Lauren,Brooklyn,Williamsburg,40.71283,-73.94781,Entire home/apt,139,30,35,1,296,21
LARGE Queen “studio” room: 25 mins to Timesquare,397296766,Karin,Queens,Elmhurst,40.7444,-73.87708,Private room,102,1,34,1,320,34
"HUGE room w/ HDTV, 1 block to prospect park #53",3223938,Eugene,Brooklyn,Prospect Heights,40.67308,-73.96641,Private room,45,30,0,394,156,0
Classy Female Shared rental in Bushwick | Brookyln,428141360,SharedEasy,Brooklyn,Bushwick,40.69043,-73.90985,Shared room,42,30,2,6,365,1
Cozy Duplex With Roof & Courtyard Access,429960952,Sam,Brooklyn,Greenpoint,40.73653,-73.95665,Entire home/apt,350,1,21,1,41,19
Nice clean apt! Up to 2 guests,226684665,Nicholas,Manhattan,East Harlem,40.78895,-73.93942,Private room,92,1,0,1,12,0
"Huge furnished, HDTV room, large closet, #118",3223938,Eugene,Brooklyn,Bedford-Stuyvesant,40.67982,-73.94819,Private room,34,90,0,394,125,0
Close to Manhattan! Comfortable area to stay♪,390535864,Fukuda,Queens,Sunnyside,40.73786,-73.92369,Private room,47,1,0,31,0,0
Cozy Studio Apartment near Metro,429826037,Valentin,Brooklyn,Cypress Hills,40.67953,-73.88997,Entire home/apt,80,30,1,12,365,1
Cozy - Private Bedroom in Queens Village,52155780,Yvette,Queens,Queens Village,40.70785,-73.74679,Private room,46,3,9,1,149,3
Lovely 1 bedroom apartment,403346164,Danisia,Brooklyn,Crown Heights,40.6772,-73.94541,Entire home/apt,93,30,3,1,248,1
Muriel's Second Floor Suites Sleeps 4,203068035,Nicole,Brooklyn,Crown Heights,40.66738,-73.94191,Private room,160,6,1,3,38,1
"The Vera, lovely 2 bedroom on the 2nd floor Queens",422291147,Sattie,Queens,Richmond Hill,40.6842,-73.82864,Private room,125,1,16,1,364,12
Cozy brownstone studio apartment in PLG,4354289,Lukas,Brooklyn,Prospect-Lefferts Gardens,40.66264,-73.95037,Entire home/apt,116,3,68,1,113,47
